Player,Season,Age,Tm,W,L,WLRatio,PTS,MP,MPG,PER,WS,G,FG,FGA,X2P,X2PA,X3P,X3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.,X2P.,X3P.,eFG.,FT.,TS.,FG.100,FGA.100,X2P.100,X2PA.100,X3P.100,X3PA.100,FT.100,FTA.100,ORB.100,DRB.100,TRB.100,AST.100,STL.100,BLK.100,TOV.100,PF.100,PTS.100,X3PAr,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,ORtg,DRtg,OWS,DWS,WS.48,OBPM,DBPM,BPM,VORP,era,previous.winner
James Harden,2016-17,27,HOU,55,27,0.671,29.1,2947,36.4,27.3,15,81,8.3,18.9,5.1,9.6,3.2,9.3,9.2,10.9,1.2,7,8.1,11.2,1.5,0.5,5.7,2.7,0.44,0.53,0.347,0.525,0.847,0.613,11,25,6.7,12.7,4.3,12.3,12.1,14.3,1.5,9.2,10.7,14.8,2,0.6,7.6,3.5,38.4,0.493,0.575,3.5,20.9,12.2,50.7,2,1,19.5,34.2,118,107,11.5,3.6,0.245,8.7,1.5,10.1,9,10s,0
Jimmy Butler,2016-17,27,CHI,41,41,0.5,23.9,2809,37,25.1,13.8,76,7.5,16.5,6.3,13.2,1.2,3.3,7.7,8.9,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,0.455,0.477,0.367,0.492,0.865,0.586,10.2,22.5,8.6,18,1.6,4.4,10.5,12.1,2.3,6.1,8.4,7.5,2.6,0.6,2.9,2,32.6,0.198,0.54,4.9,13.2,9,24.8,2.6,0.9,9.3,26.5,123,106,10,3.8,0.236,5.8,1.1,6.9,6.3,10s,0
Kawhi Leonard,2016-17,25,SAS,61,21,0.744,25.5,2474,33.4,27.5,13.6,74,8.6,17.7,6.6,12.5,2,5.2,6.3,7.2,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,0.485,0.529,0.381,0.541,0.88,0.611,13.1,27,10.1,19.1,3,8,9.7,11,1.6,7.2,8.9,5.4,2.7,1.1,3.2,2.5,38.9,0.294,0.407,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,121,102,8.9,4.7,0.264,6.4,1.5,7.9,6.2,10s,0
Russell Westbrook,2016-17,28,OKC,47,35,0.573,31.6,2802,34.6,30.6,13.1,81,10.2,24,7.7,16.8,2.5,7.2,8.8,10.4,1.7,9,10.7,10.4,1.6,0.4,5.4,2.3,0.425,0.459,0.343,0.476,0.845,0.554,14.4,34,10.9,23.8,3.5,10.2,12.4,14.7,2.4,12.7,15.1,14.7,2.3,0.5,7.7,3.3,44.8,0.3,0.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,112,104,8.5,4.6,0.224,10.9,4.7,15.5,12.4,10s,0
LeBron James,2016-17,32,CLE,51,31,0.622,26.4,2794,37.8,27,12.9,74,9.9,18.2,8.3,13.5,1.7,4.6,4.8,7.2,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,0.548,0.611,0.363,0.594,0.674,0.619,13.1,24,10.9,17.9,2.2,6.1,6.4,9.5,1.7,9.7,11.4,11.5,1.6,0.8,5.4,2.4,34.9,0.254,0.395,4,20.7,12.6,41.3,1.6,1.3,16.1,30,119,108,9.8,3,0.221,6.8,1.6,8.4,7.3,10s,1
Stephen Curry,2016-17,28,GSW,67,15,0.817,25.3,2638,33.4,24.7,12.6,79,8.5,18.3,4.4,8.3,4.1,10,4.1,4.6,0.8,3.7,4.5,6.6,1.8,0.2,3,2.3,0.468,0.537,0.411,0.58,0.898,0.624,12.3,26.3,6.4,11.9,5.9,14.4,5.9,6.6,1.1,5.3,6.4,9.5,2.6,0.3,4.3,3.3,36.5,0.547,0.251,2.7,11.4,7.3,31.1,2.6,0.5,12.9,30.1,119,105,8.7,3.9,0.229,7.8,-0.4,7.4,6.2,10s,1
Isaiah Thomas,2016-17,27,BOS,53,29,0.646,28.9,2569,33.8,26.5,12.5,76,9,19.4,5.8,10.9,3.2,8.5,7.8,8.5,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,0.463,0.528,0.379,0.546,0.909,0.625,13.2,28.4,8.4,16,4.7,12.5,11.4,12.5,0.8,3.1,4,8.6,1.3,0.2,4.1,3.2,42.4,0.439,0.441,1.9,7,4.4,32.5,1.3,0.4,10.7,34,122,112,10.9,1.6,0.234,8.7,-3.4,5.3,4.8,10s,0
Kevin Durant,2016-17,28,GSW,67,15,0.817,25.1,2070,33.4,27.6,12,62,8.9,16.5,7,11.5,1.9,5,5.4,6.2,0.6,7.6,8.3,4.9,1.1,1.6,2.2,1.9,0.537,0.608,0.375,0.594,0.875,0.651,12.8,23.8,10.1,16.6,2.7,7.3,7.8,8.9,0.9,11,11.9,7,1.5,2.3,3.2,2.7,36.1,0.304,0.374,2.2,23.6,13.6,23.2,1.5,3.8,10.4,27.8,125,101,8,4,0.278,5.4,2.6,8,5.2,10s,1
Chris Paul,2016-17,31,LAC,51,31,0.622,18.1,1921,31.5,26.2,10.6,61,6.1,12.9,4.1,7.9,2,5,3.8,4.3,0.7,4.3,5,9.2,1.9,0.1,2.4,2.4,0.476,0.518,0.411,0.555,0.892,0.614,9.7,20.4,6.5,12.6,3.2,7.9,6,6.8,1.1,6.8,7.9,14.6,3,0.2,3.8,3.8,28.7,0.385,0.331,2.5,14.9,8.8,46.8,3,0.3,14,24.4,126,106,8,2.6,0.264,7.7,0.9,8.6,5.2,10s,0
Kyle Lowry,2016-17,30,TOR,51,31,0.622,22.4,2244,37.4,22.9,10.1,60,7.1,15.3,3.9,7.5,3.2,7.8,5,6.1,0.8,4,4.8,7,1.5,0.3,2.9,2.8,0.464,0.518,0.412,0.569,0.819,0.623,9.6,20.7,5.3,10.2,4.4,10.6,6.8,8.2,1.1,5.4,6.5,9.4,2,0.4,3.9,3.8,30.4,0.51,0.398,2.4,12,7.2,29.9,2,0.7,13.8,24.9,123,109,7.8,2.3,0.216,7.1,-0.5,6.6,4.9,10s,0
